character,english,pin
家,Family; home,jiā
有,Have; possess; there be,yǒu
口,A measure word (family members),kǒu
爸爸,Father; dad,bàba
妈妈,Mother; mom,māma
哥哥,Older brother,gēge
和,And,hé
职员,Office worker; staff member,zhíyuán
都,All; both,dōu
大学生,College or university student,dàxuéshēng
几,How many,jǐ
做,Do; engage in,zuò
工作,Job; work; task,gōngzuò
律师,Lawyer; attorney,lǜshī
医生,Doctor; medical practitioner,yīshēng
你们,You (plural),nǐmen
班,Team; class; group,bān
多少,How much; how many,duōshao
个,Used before nouns without a special classifier of their own,gè
学生,Student,xuésheng
我们,We; us,wǒmen
两,Two,liǎng
姐姐,Older sister,jiějie
妹妹,Younger sister,mèimei
弟弟,Younger brother,dìdi
工人,Worker; labourer,gōngrén
农民,Peasant; farmer,nóngmín
护士,Nurse,hùshi
警察,Police; police officer,jǐngchá
想,Want to; would like to; be going to,xiǎng
买,Buy; purchase,mǎi
电子词典,Electronic dictionary,diànzǐ;cídiǎn
电子,Electronic,diànzǐ
词典,Dictionary,cídiǎn
电脑,Computer,diànnǎo
部,Used for books; films; machines etc,bù
百,Hundred,bǎi
块,Unit of money,kuài
钱,Money,qián
台,Used for certian machinery or apparatus,tái
千,Thousand,qiān
一共,Altogether; in all,yīgòng
需要,Need,xūyào
营业员,Attendant; shop assistant,yíngyèyuán
要,Want; need,yào
面包,Bread,miànbāo
种,Kind; sort; type; variety,zhǒng
这,This,zhè
谢谢,Thank; be grateful,xièxie
不客气,You're welcome,bù kèqi
客气,Polite; courteous,kèqi
香蕉,Banana,xiāngjiāo
斤,Weight equal to 0.5 kg,jīn
苹果,Apple,píngguǒ
再,Again; once more; one more time,zài
毛,A fractional monetary unit in China(=1/10 yuan),máo
书,Book,shū (measure word běn)
手机,Cell phone,shǒujī (measure word gè/bù)
咖啡,Coffee,kāfēi (measure word bēi)
牛奶,Milk,niúnǎi (measure word dài/hé)
啤酒,Beer,píjiǔ (measure word píng)
矿泉水,Mineral spring water,kuàngquánshuǐ (measure word píng)
可乐,Cola; coke,kělè (measure word píng)
草莓,Strawberry,cǎoméi (measure word jīn/gōngjīn)
西瓜,Watermelon,xīguā (measure word jīn/gōngjīn)
橘子,Orange; tangerine,júzi (measure word jīn/gōngjīn)
教学楼,Classroom building,jiàoxuélóu
教学,Teaching,jiàoxué
楼,Storied building,lóu
在,Indicationg where a person or thing is,zài
这儿,Here,zhèr
图书馆,Library,túshūguǎn
边,Side,biān
北边,North,běibiān
西边,West,xībiān
南边,South,nánbian
运动场,Sports field,yùndòngchǎng
体育馆,Gym; gymnasium,tǐyùguǎn
饭馆,Restaurant,fànguǎn
还,Also; too; as well; in addition,hái
超市,Supermarket,chāoshì
今天,Today,jīntiān
月,Month,yuè
日,day,rì
星期,week,xīngqī
的,(used after an attribute) of,de
生日,birthday,shēngrì
下课,to finish class,xià kè
以后,after,yǐhòu
准备,plan; intend,zhǔnbèi
请,invite,qǐng
吃,to eat,chī
饭,meal,fàn
对,right,duì
号,ordinal number,hào
怎么样,how about?,zěnmeyàng
祝,to wish; to express good wishes,zhù
快乐,happy,kuàilè
礼物,gift; present,lǐwù
本,classifier for books; periodicals; files etc,běn
书,book,shū
支,classifier for rods such as pens and guns,zhī
笔,pen,bǐ
啊,interjection or grunt of agreement,a
时间,time; period,shíjiān
没问题,no problem,méi wèntí
没(有),not have; be without,méi (yǒu)
问题,question; problem,wèntí
明天,tomorrow,míngtiān
后天,the day after tomorrow,hòutiān
昨天,yesterday,zuótiān
前天,the day before yesterday,qiántiān
报纸,newspaper,bàozhǐ
杂志,magazine,zázhì
衣服,clothes,yīfu
